Generated 182 deterministic 16x16 corrupted dungeon block textures, batch 2.
All outputs are direct pixel edits of the uploaded 16x16 base textures.

old_blood_smear_deepslate_tiles.png | base=deepslate_tiles | recipe=old_blood_smear | seed=42000
fresh_splatter_deepslate_tiles.png | base=deepslate_tiles | recipe=fresh_splatter | seed=42037
rust_scabbed_deepslate_tiles.png | base=deepslate_tiles | recipe=rust_scabbed | seed=42074
ashen_bone_dust_deepslate_tiles.png | base=deepslate_tiles | recipe=ashen_bone_dust | seed=42111
lichen_crawl_deepslate_tiles.png | base=deepslate_tiles | recipe=lichen_crawl | seed=42148
yellow_mold_deepslate_tiles.png | base=deepslate_tiles | recipe=yellow_mold | seed=42185
tar_seams_deepslate_tiles.png | base=deepslate_tiles | recipe=tar_seams | seed=42222
void_stars_deepslate_tiles.png | base=deepslate_tiles | recipe=void_stars | seed=42259
black_eye_knots_deepslate_tiles.png | base=deepslate_tiles | recipe=black_eye_knots | seed=42296
scratch_runes_deepslate_tiles.png | base=deepslate_tiles | recipe=scratch_runes | seed=42333
purple_bruise_bloom_deepslate_tiles.png | base=deepslate_tiles | recipe=purple_bruise_bloom | seed=42370
pus_bubbled_deepslate_tiles.png | base=deepslate_tiles | recipe=pus_bubbled | seed=42407
thread_sinew_deepslate_tiles.png | base=deepslate_tiles | recipe=thread_sinew | seed=42444
pale_handprint_deepslate_tiles.png | base=deepslate_tiles | recipe=pale_handprint | seed=42481
chitin_splintered_deepslate_tiles.png | base=deepslate_tiles | recipe=chitin_splintered | seed=42518
cold_blue_curse_deepslate_tiles.png | base=deepslate_tiles | recipe=cold_blue_curse | seed=42555
necrotic_edges_deepslate_tiles.png | base=deepslate_tiles | recipe=necrotic_edges | seed=42592
ritual_chalk_deepslate_tiles.png | base=deepslate_tiles | recipe=ritual_chalk | seed=42629
fly_egg_cluster_deepslate_tiles.png | base=deepslate_tiles | recipe=fly_egg_cluster | seed=42666
dark_matter_rift_deepslate_tiles.png | base=deepslate_tiles | recipe=dark_matter_rift | seed=42703
infected_waterline_deepslate_tiles.png | base=deepslate_tiles | recipe=infected_waterline | seed=42740
old_blood_smear_blackstone_bricks.png | base=blackstone_bricks | recipe=old_blood_smear | seed=43000
fresh_splatter_blackstone_bricks.png | base=blackstone_bricks | recipe=fresh_splatter | seed=43037
rust_scabbed_blackstone_bricks.png | base=blackstone_bricks | recipe=rust_scabbed | seed=43074
ashen_bone_dust_blackstone_bricks.png | base=blackstone_bricks | recipe=ashen_bone_dust | seed=43111
lichen_crawl_blackstone_bricks.png | base=blackstone_bricks | recipe=lichen_crawl | seed=43148
yellow_mold_blackstone_bricks.png | base=blackstone_bricks | recipe=yellow_mold | seed=43185
tar_seams_blackstone_bricks.png | base=blackstone_bricks | recipe=tar_seams | seed=43222
void_stars_blackstone_bricks.png | base=blackstone_bricks | recipe=void_stars | seed=43259
black_eye_knots_blackstone_bricks.png | base=blackstone_bricks | recipe=black_eye_knots | seed=43296
scratch_runes_blackstone_bricks.png | base=blackstone_bricks | recipe=scratch_runes | seed=43333
purple_bruise_bloom_blackstone_bricks.png | base=blackstone_bricks | recipe=purple_bruise_bloom | seed=43370
pus_bubbled_blackstone_bricks.png | base=blackstone_bricks | recipe=pus_bubbled | seed=43407
thread_sinew_blackstone_bricks.png | base=blackstone_bricks | recipe=thread_sinew | seed=43444
pale_handprint_blackstone_bricks.png | base=blackstone_bricks | recipe=pale_handprint | seed=43481
chitin_splintered_blackstone_bricks.png | base=blackstone_bricks | recipe=chitin_splintered | seed=43518
cold_blue_curse_blackstone_bricks.png | base=blackstone_bricks | recipe=cold_blue_curse | seed=43555
necrotic_edges_blackstone_bricks.png | base=blackstone_bricks | recipe=necrotic_edges | seed=43592
ritual_chalk_blackstone_bricks.png | base=blackstone_bricks | recipe=ritual_chalk | seed=43629
fly_egg_cluster_blackstone_bricks.png | base=blackstone_bricks | recipe=fly_egg_cluster | seed=43666
dark_matter_rift_blackstone_bricks.png | base=blackstone_bricks | recipe=dark_matter_rift | seed=43703
infected_waterline_blackstone_bricks.png | base=blackstone_bricks | recipe=infected_waterline | seed=43740
old_blood_smear_polished_blackstone.png | base=polished_blackstone | recipe=old_blood_smear | seed=44000
fresh_splatter_polished_blackstone.png | base=polished_blackstone | recipe=fresh_splatter | seed=44037
rust_scabbed_polished_blackstone.png | base=polished_blackstone | recipe=rust_scabbed | seed=44074
ashen_bone_dust_polished_blackstone.png | base=polished_blackstone | recipe=ashen_bone_dust | seed=44111
lichen_crawl_polished_blackstone.png | base=polished_blackstone | recipe=lichen_crawl | seed=44148
